"id"	"open"	"close"	"high"	"low"	"vol"	"amount"	"count"	"update_time"
"1577457000"	"7205.08"	"7200.82"	"7212"	"7197.11"	"2526494.02429711"	"350.7398135274179"	"1876"	
"1577457900"	"7200.84"	"7201.61"	"7209"	"7192.36"	"1218615.531142888"	"169.2236462017757"	"1317"	
"1577458800"	"7202.7"	"7211.91"	"7214.6"	"7196.93"	"2495008.805790959"	"346.24190193229236"	"1748"	
"1577459700"	"7211.9"	"7224.03"	"7237.21"	"7210.69"	"3920931.698866169"	"542.552788372727"	"4048"	
"1577460600"	"7224.02"	"7234.95"	"7234.95"	"7214.67"	"1557387.9549559336"	"215.5300257323681"	"2016"	
"1577461500"	"7234.83"	"7239.14"	"7262.89"	"7230.39"	"6555857.628795664"	"905.0999596627508"	"5097"	
"1577462400"	"7238.75"	"7246.42"	"7268.72"	"7224.99"	"9401272.854372922"	"1295.9783360229123"	"7552"	
"1577463300"	"7245.01"	"7263"	"7267.8"	"7237.79"	"4281535.883120012"	"590.1355850904986"	"3911"	
"1577464200"	"7262.99"	"7188.91"	"7268.72"	"7178.15"	"9004658.334402539"	"1248.7877307994302"	"10207"	
"1577465100"	"7190.01"	"7202.51"	"7214.92"	"7190"	"3740764.9140862375"	"519.2243497327214"	"3315"	
"1577466000"	"7202.1"	"7203.34"	"7218.08"	"7186.17"	"3464653.489572013"	"481.041885103919"	"3014"	
"1577466900"	"7203.34"	"7210.11"	"7213.75"	"7200.3"	"1793111.3488478481"	"248.72650373678465"	"1656"	
"1577467800"	"7210.98"	"7212.56"	"7218.68"	"7200"	"1873435.08538475"	"259.9134719870964"	"1578"	
"1577468700"	"7212.57"	"7203.48"	"7212.57"	"7194.68"	"1741366.1311825158"	"241.71700712523725"	"1700"	
"1577469600"	"7203.48"	"7223.36"	"7236.22"	"7203.47"	"3805683.3614426125"	"526.6101663389011"	"3707"	
"1577470500"	"7223.36"	"7224.39"	"7233.86"	"7210.81"	"1970759.3308545"	"272.80143818188634"	"1784"	
"1577471400"	"7223.5"	"7215.32"	"7231.11"	"7210.23"	"1930344.43783634"	"267.29490210114284"	"1643"	
"1577472300"	"7214.73"	"7219.55"	"7226.61"	"7204.39"	"1199551.41201643"	"166.2035230461896"	"1716"	
"1577473200"	"7219.55"	"7219"	"7227"	"7211.66"	"1525131.4721986633"	"211.12893774488245"	"1101"	
