"id"	"open"	"close"	"high"	"low"	"vol"	"amount"	"count"	"update_time"
"1577457000"	"2.7564"	"2.7559"	"2.7598"	"2.7524"	"17971.131410892627"	"6521.129927598047"	"233"	
"1577457900"	"2.7564"	"2.7596"	"2.76"	"2.756"	"64635.2243900074"	"23424.02551438028"	"264"	
"1577458800"	"2.759"	"2.7624"	"2.7637"	"2.758"	"47964.877138"	"17378.35987897674"	"267"	
"1577459700"	"2.7623"	"2.7733"	"2.7745"	"2.7607"	"128014.39673798"	"46210.36989841809"	"637"	
"1577460600"	"2.7714"	"2.7726"	"2.7739"	"2.7676"	"70323.733503"	"25374.69"	"330"	
"1577461500"	"2.7725"	"2.775"	"2.7814"	"2.7704"	"150348.3313541"	"54160.15741391201"	"831"	
"1577462400"	"2.775"	"2.7757"	"2.7874"	"2.7644"	"140704.6241042078"	"50617.99389004795"	"1114"	
"1577463300"	"2.7749"	"2.7761"	"2.7788"	"2.772"	"94575.850003"	"34079.28"	"618"	
"1577464200"	"2.7759"	"2.7589"	"2.7779"	"2.7514"	"224073.35940673"	"80935.38079262867"	"789"	
"1577465100"	"2.7588"	"2.7672"	"2.7719"	"2.7575"	"66939.563212"	"24199.226418039896"	"391"	
"1577466000"	"2.7658"	"2.7665"	"2.7724"	"2.7619"	"30543.249526"	"11036.085859869081"	"266"	
"1577466900"	"2.7668"	"2.772"	"2.772"	"2.7643"	"13412.871818"	"4846.58"	"174"	
"1577467800"	"2.7708"	"2.7704"	"2.7723"	"2.7653"	"17754.775639"	"6411.165104932858"	"214"	
"1577468700"	"2.7698"	"2.767"	"2.7698"	"2.7636"	"38559.98704757"	"13935.12938921495"	"197"	
"1577469600"	"2.7677"	"2.7772"	"2.7799"	"2.7673"	"58737.297825"	"21159.94274791912"	"419"	
"1577470500"	"2.7776"	"2.7812"	"2.784"	"2.7729"	"71178.288375"	"25623.395693569862"	"263"	
"1577471400"	"2.7807"	"2.7741"	"2.7837"	"2.7726"	"36939.700407"	"13297.06"	"246"	
"1577472300"	"2.7736"	"2.7709"	"2.7753"	"2.7651"	"45218.506904"	"16320.02"	"272"	
"1577473200"	"2.77"	"2.7724"	"2.7749"	"2.7688"	"7668.711424"	"2766.2968970614747"	"109"	
"1577474100"	"2.7724"	"2.767"	"2.7745"	"2.766"	"27070.676519"	"9778.03"	"91"	
"1577475000"	"2.7676"	"2.764"	"2.7683"	"2.7577"	"37167.537494"	"13439.75"	"233"	
"1577475900"	"2.764"	"2.7707"	"2.7722"	"2.7617"	"29471.239892"	"10648.3"	"299"	
"1577476800"	"2.7719"	"2.7747"	"2.7783"	"2.771"	"48949.700373"	"17640.981679741308"	"286"	
"1577477700"	"2.7763"	"2.7745"	"2.7776"	"2.77"	"23507.852178"	"8471.71"	"214"	
"1577478600"	"2.7737"	"2.7738"	"2.7755"	"2.7713"	"6863.191283"	"2474.670864812209"	"117"	
"1577479500"	"2.7731"	"2.7746"	"2.7757"	"2.77"	"6086.927375"	"2196.04"	"104"	
"1577480400"	"2.7743"	"2.7681"	"2.7776"	"2.762"	"29033.273011"	"10492.63"	"312"	
"1577481300"	"2.7684"	"2.7637"	"2.7712"	"2.7627"	"8588.1734914"	"3105.996802922348"	"147"	
"1577482200"	"2.7645"	"2.7638"	"2.7662"	"2.7638"	"10584.460452"	"3828.33"	"128"	
"1577483100"	"2.7644"	"2.7632"	"2.7646"	"2.7616"	"19967.675032"	"7227.55"	"78"	
"1577484000"	"2.7637"	"2.7659"	"2.7681"	"2.7636"	"21368.648196"	"7725.69"	"153"	
"1577484900"	"2.7667"	"2.7639"	"2.77"	"2.7617"	"25045.750466"	"9053.43"	"151"	
"1577485800"	"2.7641"	"2.7623"	"2.7653"	"2.761"	"10004.037304"	"3621.02"	"173"	
"1577486700"	"2.7625"	"2.763"	"2.7679"	"2.7612"	"48528.388897"	"17551.886531741726"	"169"	
"1577487600"	"2.7638"	"2.7638"	"2.7662"	"2.7622"	"7561.586199"	"2735.5888929289786"	"100"	
"1577488500"	"2.7635"	"2.7654"	"2.7667"	"2.7635"	"7703.154394119803"	"2785.74"	"104"	
"1577489400"	"2.7653"	"2.7682"	"2.77"	"2.7649"	"33114.502754"	"11963.06"	"213"	
"1577490300"	"2.768"	"2.7687"	"2.7694"	"2.7671"	"34313.2561"	"12394.66"	"93"	
"1577491200"	"2.7684"	"2.7699"	"2.77"	"2.7666"	"20824.622794"	"7522.740879485884"	"135"	
"1577492100"	"2.77"	"2.7863"	"2.7874"	"2.7687"	"104557.137882"	"37684.75989312867"	"572"	
"1577493000"	"2.7856"	"2.7851"	"2.7918"	"2.782"	"190579.88940654"	"68372.90298020907"	"1000"	
"1577493900"	"2.7857"	"2.787"	"2.7959"	"2.7838"	"95489.21209770415"	"34244.77296626582"	"586"	
"1577494800"	"2.7872"	"2.783"	"2.7926"	"2.775"	"128287.377335"	"46079.430386853215"	"675"	
"1577495700"	"2.7813"	"2.7854"	"2.7864"	"2.7788"	"43258.08098"	"15549.12"	"228"	
"1577496600"	"2.7855"	"2.7889"	"2.7903"	"2.7831"	"62158.03860277"	"22305.54950989023"	"531"	
"1577497500"	"2.7884"	"2.7855"	"2.7885"	"2.7843"	"36494.321108"	"13097.609879239757"	"265"	
"1577498400"	"2.7851"	"2.7876"	"2.7928"	"2.7851"	"89945.852711"	"32243.103293003223"	"523"	
"1577499300"	"2.7882"	"2.7843"	"2.7884"	"2.7763"	"74092.225937"	"26626.497669669454"	"427"	
"1577500200"	"2.7836"	"2.7836"	"2.7849"	"2.7782"	"41485.744032"	"14908.67"	"253"	
"1577501100"	"2.7835"	"2.7883"	"2.7899"	"2.7834"	"32984.209237"	"11834.77"	"370"	
"1577502000"	"2.7883"	"2.7859"	"2.7905"	"2.7857"	"31522.026375"	"11307.46977226267"	"274"	
"1577502900"	"2.7858"	"2.7854"	"2.7873"	"2.7827"	"34435.886571"	"12364.18"	"187"	
"1577503800"	"2.7854"	"2.7829"	"2.787"	"2.7824"	"13089.734533"	"4700.947194596149"	"157"	
"1577504700"	"2.7832"	"2.7812"	"2.785"	"2.7765"	"62848.38062562"	"22607.874013241497"	"259"	
"1577505600"	"2.7805"	"2.7807"	"2.786"	"2.7777"	"49010.536072"	"17610.80775459653"	"254"	
"1577506500"	"2.7808"	"2.7848"	"2.7858"	"2.7801"	"23707.612646"	"8517.99063868744"	"133"	
"1577507400"	"2.7844"	"2.785"	"2.7865"	"2.7838"	"25296.536903"	"9083.7"	"143"	
"1577508300"	"2.7859"	"2.7849"	"2.7873"	"2.7805"	"33174.649735"	"11915.5"	"202"	
"1577509200"	"2.7845"	"2.7848"	"2.7867"	"2.7823"	"29818.994869"	"10707.567373936761"	"194"	
"1577510100"	"2.7848"	"2.7819"	"2.7863"	"2.7808"	"50125.420408"	"18007.14246569033"	"346"	
"1577511000"	"2.7821"	"2.7834"	"2.7866"	"2.7806"	"49527.644308"	"17799.47"	"281"	
"1577511900"	"2.7836"	"2.7926"	"2.793"	"2.7836"	"68961.650985"	"24723.246193654788"	"426"	
"1577512800"	"2.7919"	"2.7956"	"2.8029"	"2.7903"	"266243.03767493"	"95166.96701296011"	"789"	
"1577513700"	"2.7954"	"2.7997"	"2.8007"	"2.7952"	"63565.256557"	"22721.288003550286"	"352"	
"1577514600"	"2.7987"	"2.7988"	"2.8013"	"2.796"	"71191.541687"	"25442.03131463284"	"470"	
"1577515500"	"2.7988"	"2.7992"	"2.8033"	"2.7988"	"55778.831176"	"19916.160587395618"	"390"	
"1577516400"	"2.7991"	"2.7984"	"2.8016"	"2.7961"	"88826.54306237"	"31734.902048785454"	"333"	
"1577517300"	"2.7983"	"2.7915"	"2.7984"	"2.7915"	"46224.7460559"	"16529.11769045747"	"250"	
"1577518200"	"2.7915"	"2.7899"	"2.7922"	"2.7891"	"19278.786168"	"6909.34"	"132"	
"1577519100"	"2.7906"	"2.7884"	"2.7911"	"2.7841"	"38743.62941886"	"13905.359711430463"	"276"	
"1577520000"	"2.7885"	"2.7815"	"2.7891"	"2.7773"	"89557.07949511"	"32183.161455642366"	"389"	
"1577520900"	"2.7819"	"2.7813"	"2.7917"	"2.7785"	"50875.149615"	"18280.49834363545"	"341"	
